seed,condition,task,assisted,mf_start,summed_activation,pearson_r,goal,final_angle
0,A,108,0,0.8141721840670396,15.352036638594617,-0.8112770676015091,0,-0.00011487462014042009
0,A,109,0,0.8144817153025098,15.133084304297615,-0.7578982362575339,0,-0.0003215343409948076
0,A,110,0,0.8147845320446047,14.91812877554042,-0.7575607063986369,0,-0.0003222870575801944
0,A,111,0,0.8150807571062909,14.707097107602843,-0.754932153590808,0,-0.0003272781059184644
0,A,112,0,0.8153705110578148,14.499917690890737,-0.8133302709922813,0,-0.00013855815915869303
0,A,113,0,0.815653912267658,14.296520244293458,-0.7695292822353094,0,-5.479782193035639e-05
0,A,114,0,0.8159310769427418,14.096835730565832,-0.722824650866995,0,-4.1924868129542334e-05
0,A,115,0,0.8162021191679005,13.90079645308313,-0.748616307399071,0,-0.00033898131325908867
0,A,116,0,0.8164671509446325,13.708335849637075,-0.811542176616173,0,-0.00016677558664684433
0,A,117,0,0.8167262822291433,13.51938854432061,-0.7645194308039955,0,-0.00030965281765255964
0,A,118,0,0.8169796209696951,13.33389056745002,-0.796705935568731,0,-0.00023149194764812643
0,A,119,0,0.8172272731432737,13.151778878838375,-0.7944101436414399,0,-0.00023873403285352358
0,A,120,0,0.8174693427915849,12.972991674905305,-0.5592052496577603,0,-2.834711910418937e-05
0,A,121,0,0.8177059320563959,12.797468303063635,-0.7459631515038884,0,-0.00034408073489195884
0,A,122,0,0.817937141214228,12.625149185505501,-0.7675967926493914,0,-0.0003039972443504595
0,A,123,0,0.8181630687104197,12.455975870400822,-0.680482837060968,0,-3.385485963144185e-05
0,A,124,0,0.8183838111925645,12.289890958928046,-0.7726348633134049,0,-5.153429744942637e-05
0,A,125,0,0.8185994635433401,12.126838073307928,-0.8152197408188674,0,-0.00013317071232072609
0,A,126,0,0.8188101189127376,11.966761837229413,-0.7507058305623778,0,-0.0003362541569105844
0,A,127,0,0.8190158687497,11.80960794175216,-0.7893617941129825,0,-0.0002542913650881402
0,A,128,0,0.8192168028331875,11.655323084621063,-0.8026765972720245,0,-0.00021359643408989514
0,A,129,0,0.8194130093026718,11.50385484833151,-0.8040824136189328,0,-0.0002086209479477643
0,A,130,0,0.8196045746880737,11.355151873781061,-0.8157940397526524,0,-0.00012455123627833805
0,A,131,0,0.819791583939157,11.209163669389888,-0.7769544551520771,0,-0.00028495637227171335
0,A,132,0,0.8199741204543822,11.065840685249027,-0.7770019527486273,0,-0.0002849481739006154
0,A,133,0,0.8201522661092356,10.925134256704203,-0.7595521568678243,0,-0.00032068598085561913
0,A,134,0,0.8203261012840389,10.786996600960721,-0.8014928965038915,0,-0.00021898284306773365
0,A,135,0,0.8204957048912537,10.651380967260527,-0.7766698915511914,0,-0.00028596925649869805
0,A,136,0,0.8206611544022859,10.518241195922817,-0.8086241704940735,0,-8.10821142126595e-05
0,A,137,0,0.8208225258737994,10.387532105541162,-0.7499267403286758,0,-0.00033836635731353173
0,A,138,0,0.8209798939735528,10.259209475054266,-0.8107432683649128,0,-0.00018218576234832676
0,A,139,0,0.8211333320057593,10.133229494088727,-0.7531002493608302,0,-0.0003328935131646558
0,A,140,0,0.8212829119359893,10.009549549059761,-0.755977875763311,0,-0.000327768374274077
0,A,141,0,0.8214287044156129,9.88812769475858,-0.7717563883149424,0,-0.0002970618048944374
0,A,142,0,0.8215707788058003,9.768922617911507,-0.7424796550197827,0,-0.0003512790572242805
0,A,143,0,0.8217092032010799,9.65189390778755,-0.7395696761436823,0,-0.0003560944572238686
0,A,144,0,0.8218440444524714,9.537001864540867,-0.8172026481951591,0,-0.00013177846709545336
0,A,145,0,0.8219753681901897,9.424207389818738,-0.769364941432088,0,-0.00030229040792620885
0,A,146,0,0.8221032388459418,9.313472303871265,-0.7389937492418468,0,-0.0003571668262500809
0,A,147,0,0.8222277196748095,9.204758922055603,-0.817196909605545,0,-0.0001130535065287515
0,A,148,0,0.8223488727767382,9.098030392893815,-0.8156006111346031,0,-9.819751538377995e-05
0,A,149,0,0.8224667591176282,8.99325049069612,-0.8176036559463623,0,-0.0001317822145074179
0,A,150,0,0.8225814385500465,8.890383626625482,-0.7931723856851352,0,-0.0002466052505947172
0,A,151,0,0.8226929698335544,8.789394860373656,-0.7974597998223474,0,-5.8199299497772445e-05
