step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
37,0.74,[1.],1.0,[1.9056],[-2.3082],[13.4049  0.264   0.172   0.1618  0.2933  0.227   0.0947],[0.0984 0.0045 0.1416 0.8964 0.1069 0.9236],6.819842011402367,95.51007925836866,True,[0.0944],[0.0297 0.0018 0.1037 0.9958 0.1106 0.9957],[0.9697 0.998  0.8956 0.     0.8856 0.    ],[0.0006 0.0002 0.0007 0.0042 0.0037 0.0043],0.002309239236888468,0.8275665088902681,1.227341848229487,[1.     0.0297 0.0018 0.1037 0.9958 0.1106 0.9957]
38,0.76,[1.],1.0,[1.8597],[-2.2828],[13.0818  0.2632  0.1713  0.1611  0.2952  0.2289  0.0957],[0.0807 0.0039 0.1249 0.9131 0.2319 0.9239],6.7531389001380155,102.26321815850667,True,[0.1403],[0.0218 0.0015 0.075  0.9242 0.245  0.9242],[0.9776 0.9983 0.9243 0.0714 0.7512 0.0713],[0.0006 0.0002 0.0007 0.0044 0.0038 0.0045],0.002376771640295147,0.8275665088902681,1.227341848229487,[1.     0.0218 0.0015 0.075  0.9242 0.245  0.9242]
39,0.78,[1.],1.0,[1.8146],[-2.2327],[12.7643  0.2625  0.1705  0.1603  0.297   0.2307  0.0966],[0.0663 0.0034 0.1074 0.9196 0.5284 0.924 ],2.6376816267780043,104.90089978528468,False,[0.1854],[0.0162 0.0012 0.0531 0.924  0.6034 0.924 ],[0.9832 0.9985 0.9462 0.0714 0.3928 0.0713],[0.0006 0.0002 0.0007 0.0046 0.0038 0.0047],0.0024429052781408836,0.8275665088902681,1.227341848229487,[1.     0.0162 0.0012 0.0531 0.924  0.6034 0.924 ]
40,0.8,[1.],1.0,[1.7707],[-2.1599],[12.4555  0.2617  0.1698  0.1596  0.2988  0.2325  0.0974],[0.0546 0.003  0.0911 0.9225 0.8425 0.9242],2.472622470827049,107.37352225611173,False,[0.2293],[0.0121 0.0011 0.0379 0.9244 0.9961 0.9244],[0.9873 0.9987 0.9614 0.0708 0.     0.0707],[0.0006 0.0002 0.0007 0.0048 0.0039 0.0049],0.002519492443277657,0.8275665088902681,1.227341848229487,[1.     0.0121 0.0011 0.0379 0.9244 0.9961 0.9244]
41,0.8200000000000001,[1.],1.0,[1.7285],[-2.0665],[12.1587  0.261   0.1691  0.1589  0.3006  0.2342  0.0982],[0.045  0.0026 0.0766 0.9234 0.8827 0.9241],-1.5874536130276888,105.78606864308404,False,[0.2715],[0.0091 0.0009 0.0275 0.924  0.9079 0.924 ],[0.9903 0.9988 0.9718 0.0711 0.088  0.071 ],[0.0006 0.0002 0.0007 0.0049 0.0041 0.005 ],0.002606818913149775,0.8275665088902681,1.227341848229487,"[1.0000e+00 9.0765e-03 9.3932e-04 2.7479e-02 9.2399e-01 9.0794e-01
 9.2399e-01]"
42,0.84,[1.],1.0,[1.6884],[-1.9546],[11.8764  0.2604  0.1684  0.1582  0.3022  0.2359  0.099 ],[0.0371 0.0023 0.0641 0.924  0.9339 0.9243],-1.6516435313479343,104.1344251117361,False,[0.3116],[6.8859e-03 8.4224e-04 2.0188e-02 9.2439e-01 9.6810e-01 9.2440e-01],[0.9925 0.9989 0.9791 0.0705 0.0276 0.0704],[0.0006 0.0002 0.0007 0.0051 0.0043 0.0052],0.002691660035964488,0.8275665088902681,1.227341848229487,"[1.0000e+00 6.8859e-03 8.4224e-04 2.0188e-02 9.2439e-01 9.6810e-01
 9.2440e-01]"
43,0.86,[1.],1.0,[1.6506],[-1.8264],[11.6112  0.2597  0.1678  0.1576  0.3037  0.2374  0.0997],[0.0306 0.0021 0.0535 0.924  0.929  0.9241],-1.6864727108935325,102.44795240084258,False,[0.3494],[5.2686e-03 7.6954e-04 1.4978e-02 9.2399e-01 9.2502e-01 9.2399e-01],[0.9941 0.999  0.9843 0.0707 0.0705 0.0707],[0.0006 0.0002 0.0007 0.0053 0.0044 0.0054],0.002777382967936533,0.8275665088902681,1.227341848229487,"[1.0000e+00 5.2686e-03 7.6954e-04 1.4978e-02 9.2399e-01 9.2502e-01
 9.2399e-01]"
44,0.88,[1.],1.0,[1.6157],[-1.6842],[11.3651  0.2592  0.1672  0.157   0.3052  0.2388  0.1004],[0.0253 0.0019 0.0446 0.9242 0.9262 0.9243],-1.7200349407013453,100.72791746014124,False,[0.3843],[4.0701e-03 7.1508e-04 1.1207e-02 9.2440e-01 9.2402e-01 9.2440e-01],[0.9953 0.9991 0.988  0.0702 0.0714 0.0701],[0.0006 0.0002 0.0007 0.0054 0.0046 0.0055],0.0028620338546312377,0.8275665088902681,1.227341848229487,"[1.0000e+00 4.0701e-03 7.1508e-04 1.1207e-02 9.2440e-01 9.2402e-01
 9.2440e-01]"
45,0.9,[1.],1.0,[1.5837],[-1.5301],[11.1399  0.2586  0.1667  0.1565  0.3064  0.2401  0.101 ],[0.0209 0.0017 0.0371 0.9241 0.9252 0.9241],-1.7511715235847225,98.97674593655653,False,[0.4163],[3.1793e-03 6.7429e-04 8.4518e-03 9.2399e-01 9.2430e-01 9.2399e-01],[0.9962 0.9991 0.9908 0.0704 0.0709 0.0703],[0.0006 0.0002 0.0008 0.0056 0.0048 0.0057],0.0029462219179126094,0.8275665088902681,1.227341848229487,"[1.0000e+00 3.1793e-03 6.7429e-04 8.4518e-03 9.2399e-01 9.2430e-01
 9.2399e-01]"
46,0.92,[1.],1.0,[1.5548],[-1.3664],[10.9372  0.2582  0.1662  0.156   0.3076  0.2413  0.1016],[0.0173 0.0016 0.0309 0.9243 0.9245 0.9243],-1.7796899606444974,97.19705597591202,False,[0.4452],[2.5158e-03 6.4373e-04 6.4255e-03 9.2440e-01 9.2398e-01 9.2440e-01],[0.9969 0.9991 0.9928 0.0698 0.0711 0.0697],[0.0006 0.0002 0.0008 0.0058 0.0049 0.0059],0.0030305700798588437,0.8275665088902681,1.227341848229487,"[1.0000e+00 2.5158e-03 6.4373e-04 6.4255e-03 9.2440e-01 9.2398e-01
 9.2440e-01]"
