step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
33,0.66,[0.],0.0,[1.118],[0.1676],[7.8644 0.251  0.159  0.1488 0.3242 0.2579 0.1089],[0.0012 0.0013 0.0012 0.9241 0.9241 0.9241],-2.2158470685788787,-78.99013431358222,False,[0.882],[5.5838e-04 5.5951e-04 5.5898e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0703 0.0704 0.0704],[0.0001 0.0002 0.0002 0.0057 0.0056 0.0056],0.002910091566172621,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5838e-04 5.5951e-04 5.5898e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
34,0.68,[0.],0.0,[1.1208],[0.1123],[7.8837 0.251  0.1591 0.1489 0.3241 0.2578 0.1089],[0.0012 0.0012 0.0012 0.9243 0.9243 0.9243],-2.213343568480082,-81.2034778820623,False,[0.8792],[5.5688e-04 5.5772e-04 5.5732e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0697 0.0698 0.0698],[0.0001 0.0002 0.0002 0.0059 0.0058 0.0058],0.0029943788687827703,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5688e-04 5.5772e-04 5.5732e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
35,0.7000000000000001,[0.],0.0,[1.1224],[0.0581],[7.8953 0.2511 0.1591 0.1489 0.324  0.2577 0.1089],[0.0011 0.0012 0.0012 0.9241 0.9241 0.9241],-2.211457828959133,-83.41493571102143,False,[0.8776],[5.5575e-04 5.5638e-04 5.5608e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.07   0.0701 0.0701],[0.0001 0.0002 0.0002 0.006  0.0059 0.0059],0.0030778905678915786,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5575e-04 5.5638e-04 5.5608e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
36,0.72,[0.],0.0,[1.123],[0.006],[7.8994 0.2511 0.1591 0.1489 0.324  0.2577 0.1089],[0.0011 0.0011 0.0011 0.9243 0.9243 0.9243],-2.211110806618974,-85.6260465176404,False,[0.877],[5.5490e-04 5.5538e-04 5.5516e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0694 0.0695 0.0695],[0.0001 0.0002 0.0002 0.0062 0.0061 0.0061],0.0031621772779656027,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5490e-04 5.5538e-04 5.5516e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
37,0.74,[0.],0.0,[1.1226],[-0.0435],[7.8964 0.2511 0.1591 0.1489 0.324  0.2577 0.1089],[0.0011 0.0011 0.0011 0.9241 0.9241 0.9241],-2.21130215720787,-87.83734867484827,False,[0.8774],[5.5427e-04 5.5463e-04 5.5446e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0697 0.0697 0.0697],[0.0001 0.0002 0.0002 0.0064 0.0063 0.0063],0.0032456414607089494,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5427e-04 5.5463e-04 5.5446e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
38,0.76,[0.],0.0,[1.1212],[-0.0898],[7.8867 0.251  0.1591 0.1489 0.3241 0.2578 0.1089],[0.0011 0.0011 0.0011 0.9243 0.9243 0.9243],-2.212925584226034,-90.0502742590743,False,[0.8788],[5.5380e-04 5.5406e-04 5.5394e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0691 0.0692 0.0692],[0.0001 0.0002 0.0002 0.0065 0.0064 0.0064],0.003329927693846359,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5380e-04 5.5406e-04 5.5394e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
39,0.78,[0.],0.0,[1.1189],[-0.1322],[7.8707 0.251  0.1591 0.1489 0.3241 0.2578 0.1089],[0.0011 0.0011 0.0011 0.9241 0.9241 0.9241],-2.2149564629431193,-92.26523072201742,False,[0.8811],[5.5344e-04 5.5364e-04 5.5355e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0693 0.0694 0.0694],[0.0001 0.0002 0.0002 0.0067 0.0066 0.0066],0.003413344460217366,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5344e-04 5.5364e-04 5.5355e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
40,0.8,[0.],0.0,[1.1158],[-0.1705],[7.8491 0.2509 0.159  0.1488 0.3243 0.2579 0.109 ],[0.0011 0.0011 0.0011 0.9243 0.9243 0.9243],-2.2182672773249394,-94.48349799934236,False,[0.8842],[5.5317e-04 5.5332e-04 5.5325e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0687 0.0688 0.0688],[0.0001 0.0002 0.0002 0.0069 0.0068 0.0068],0.00349763028138029,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5317e-04 5.5332e-04 5.5325e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
41,0.8200000000000001,[0.],0.0,[1.112],[-0.204],[7.8225 0.2509 0.1589 0.1487 0.3244 0.2581 0.109 ],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.2218152971506346,-96.705313296493,False,[0.888],[5.5297e-04 5.5309e-04 5.5303e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.069  0.0691 0.0691],[0.0001 0.0002 0.0002 0.007  0.007  0.007 ],0.0035809996934214015,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5297e-04 5.5309e-04 5.5303e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
42,0.84,[0.],0.0,[1.1076],[-0.2327],[7.7915 0.2508 0.1589 0.1487 0.3245 0.2582 0.1091],[0.001  0.001  0.001  0.9243 0.9243 0.9243],-2.226458103440132,-98.93177139993314,False,[0.8924],[5.5282e-04 5.5291e-04 5.5287e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0684 0.0685 0.0685],[0.0001 0.0002 0.0002 0.0072 0.0071 0.0071],0.0036652851391349634,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5282e-04 5.5291e-04 5.5287e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
43,0.86,[0.],0.0,[1.1027],[-0.2562],[7.7568 0.2507 0.1588 0.1486 0.3247 0.2584 0.1092],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.231141311237943,-101.16291271117109,False,[0.8973],[5.5271e-04 5.5277e-04 5.5275e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0686 0.0687 0.0687],[0.0001 0.0002 0.0002 0.0074 0.0073 0.0073],0.0037486072375743384,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5271e-04 5.5277e-04 5.5275e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
44,0.88,[0.],0.0,[1.0974],[-0.2745],[7.7193 0.2506 0.1587 0.1485 0.3249 0.2586 0.1092],[0.001  0.001  0.001  0.9243 0.9243 0.9243],-2.2367141735352813,-103.39962688470636,False,[0.9026],[5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0681 0.0681 0.0681],[0.0001 0.0002 0.0002 0.0075 0.0075 0.0075],0.0038329182929833614,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.5268e-04 5.5268e-04 5.5268e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
