step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
30,0.6,[0.6899],0.68988067,[1.7723],[-1.6093],[12.4899  0.2622  0.1701  0.1599  0.2993  0.2329  0.0976],[0.2361 0.0086 0.094  0.1526 0.0473 0.1033],7.66303622642961,52.120370428336216,True,[-0.0723],[0.1205 0.0053 0.094  0.164  0.0102 0.0907],[1.7783e-01 1.0087e-01 1.3288e-06 8.2665e-02 9.2268e-02 1.4111e-01],[0.7017 0.8938 0.906  0.7534 0.8975 0.7682],0.8200879442220966,0.8290748117732433,2.013660406482563,[0.6899 0.1205 0.0053 0.094  0.164  0.0102 0.0907]
31,0.62,[0.8928],0.8928437,[1.7378],[-1.8151],[12.2465  0.2617  0.1696  0.1593  0.3007  0.2343  0.0982],[0.2071 0.008  0.0916 0.2222 0.0426 0.2015],7.646932038085605,59.767302466421825,True,[-0.0378],[0.0822 0.0041 0.0774 0.2466 0.0121 0.2318],[0.2163 0.1023 0.0168 0.     0.0904 0.    ],[0.7015 0.8935 0.9058 0.7534 0.8975 0.7682],0.81998435225917,0.8290748117732433,2.013660406482563,[0.8928 0.0822 0.0041 0.0774 0.2466 0.0121 0.2318]
32,0.64,[1.],1.0,[1.7003],[-1.9199],[11.9821  0.261   0.1689  0.1587  0.3023  0.2358  0.099 ],[0.1802 0.0075 0.087  0.2396 0.0405 0.2234],7.678001374776109,67.44530384119793,True,[-0.0003],[0.0576 0.0032 0.0607 0.2466 0.026  0.2318],[2.4103e-01 1.0349e-01 3.3802e-02 1.4164e-06 7.6506e-02 1.4442e-06],[0.7013 0.8933 0.9055 0.7534 0.8975 0.7682],0.8198859462661375,0.8290748117732433,2.013660406482563,[1.     0.0576 0.0032 0.0607 0.2466 0.026  0.2318]
33,0.66,[1.],1.0,[1.661],[-1.9929],[11.7055  0.2604  0.1683  0.1581  0.3039  0.2374  0.0997],[0.1562 0.0069 0.081  0.2445 0.0616 0.2294],7.641329206996246,75.08663304819417,True,[0.039],[0.041  0.0025 0.0451 0.2465 0.0655 0.2317],[2.5784e-01 1.0441e-01 4.9597e-02 3.6878e-07 3.7044e-02 4.4011e-07],[0.7011 0.893  0.9053 0.7535 0.8975 0.7683],0.8197867072849748,0.8290748117732433,2.013660406482563,[1.     0.041  0.0025 0.0451 0.2465 0.0655 0.2317]
34,0.68,[1.],1.0,[1.6206],[-2.0388],[11.4208  0.2597  0.1676  0.1574  0.3055  0.2391  0.1005],[0.1353 0.0063 0.0741 0.2459 0.0953 0.231 ],7.601384546568258,82.68801759476243,True,[0.0794],[0.0297 0.002  0.033  0.2465 0.1025 0.2317],[2.6940e-01 1.0517e-01 6.1988e-02 1.1438e-06 0.0000e+00 1.1384e-06],[0.701  0.8928 0.905  0.7535 0.8975 0.7683],0.8196876988673462,0.8290748117732433,2.013660406482563,[1.     0.0297 0.002  0.033  0.2465 0.1025 0.2317]
35,0.7000000000000001,[1.],1.0,[1.5796],[-2.061],[11.1315  0.259   0.1669  0.1567  0.3072  0.2407  0.1013],[0.1173 0.0057 0.0671 0.2463 0.1011 0.2315],7.5647330687808445,90.25275066354327,True,[0.1204],[0.0217 0.0017 0.0241 0.2464 0.1025 0.2316],[2.7752e-01 1.0579e-01 7.1119e-02 5.7086e-07 1.6873e-06 6.5317e-07],[0.7008 0.8925 0.9048 0.7536 0.8975 0.7684],0.8195891159571896,0.8290748117732433,2.013660406482563,[1.     0.0217 0.0017 0.0241 0.2464 0.1025 0.2316]
36,0.72,[1.],1.0,[1.5383],[-2.0624],[10.8406  0.2584  0.1663  0.156   0.3088  0.2424  0.1021],[0.1018 0.0052 0.0602 0.2464 0.1022 0.2316],7.527872829816103,97.78062349335937,True,[0.1617],[0.0161 0.0014 0.0178 0.2464 0.1025 0.2316],[2.8335e-01 1.0633e-01 7.7685e-02 9.9467e-07 1.1687e-06 9.9058e-07],[0.7006 0.8923 0.9045 0.7536 0.8975 0.7684],0.8194900400956172,0.8290748117732433,2.013660406482563,[1.     0.0161 0.0014 0.0178 0.2464 0.1025 0.2316]
37,0.74,[1.],1.0,[1.4972],[-2.0454],[10.5511  0.2577  0.1656  0.1554  0.3105  0.244   0.1028],[0.0884 0.0047 0.0538 0.2464 0.1024 0.2316],3.490424283905478,101.27104777726485,False,[0.2028],[0.012  0.0012 0.0132 0.2463 0.1024 0.2316],[2.8762e-01 1.0679e-01 8.2476e-02 6.8156e-07 1.3282e-06 7.5630e-07],[0.7004 0.892  0.9043 0.7537 0.8976 0.7684],0.8193906217945993,0.8290748117732433,2.013660406482563,[1.     0.012  0.0012 0.0132 0.2463 0.1024 0.2316]
38,0.76,[1.],1.0,[1.4567],[-2.0119],[10.2652  0.257   0.1649  0.1547  0.3121  0.2457  0.1036],[0.0769 0.0043 0.0479 0.2463 0.1024 0.2316],3.4527103922310087,104.72375816949587,False,[0.2433],[0.009  0.001  0.0099 0.2463 0.1024 0.2315],[2.9078e-01 1.0719e-01 8.6029e-02 9.1317e-07 1.2793e-06 9.1925e-07],[0.7002 0.8918 0.904  0.7537 0.8976 0.7685],0.8192909650010386,0.8290748117732433,2.013660406482563,[1.     0.009  0.001  0.0099 0.2463 0.1024 0.2315]
39,0.78,[1.],1.0,[1.4169],[-1.9637],[9.9852 0.2564 0.1643 0.154  0.3137 0.2472 0.1043],[0.067  0.0039 0.0426 0.2463 0.1024 0.2315],-0.58480993923414,104.13894823026173,False,[0.2831],[0.0069 0.0009 0.0075 0.2463 0.1024 0.2315],[2.9316e-01 1.0756e-01 8.8701e-02 7.4221e-07 1.2944e-06 8.0624e-07],[0.7    0.8915 0.9038 0.7537 0.8976 0.7685],0.8191911425764794,0.8290748117732433,2.013660406482563,"[1.0000e+00 6.8590e-03 9.0299e-04 7.5214e-03 2.4626e-01 1.0240e-01
 2.3148e-01]"
40,0.8,[1.],1.0,[1.3783],[-1.9021],[9.7131 0.2557 0.1636 0.1534 0.3152 0.2487 0.1049],[0.0585 0.0036 0.0378 0.2463 0.1024 0.2315],-0.6217166883546038,103.51723154190712,False,[0.3217],[0.0052 0.0008 0.0057 0.2462 0.1024 0.2314],[2.9497e-01 1.0790e-01 9.0737e-02 8.6871e-07 1.2898e-06 8.8491e-07],[0.6998 0.8913 0.9035 0.7538 0.8976 0.7686],0.8190912065613278,0.8290748117732433,2.013660406482563,"[1.0000e+00 5.2488e-03 8.1504e-04 5.7385e-03 2.4621e-01 1.0238e-01
 2.3144e-01]"
41,0.8200000000000001,[1.],1.0,[1.3411],[-1.8285],[9.4506 0.2551 0.163  0.1528 0.3166 0.2502 0.1056],[0.0511 0.0033 0.0335 0.2463 0.1024 0.2315],-0.6576428037381389,102.85958873816898,False,[0.3589],[0.0041 0.0007 0.0044 0.2462 0.1024 0.2314],[2.9636e-01 1.0822e-01 9.2311e-02 7.7545e-07 1.2913e-06 8.3046e-07],[0.6996 0.891  0.9033 0.7538 0.8976 0.7686],0.818991194547968,0.8290748117732433,2.013660406482563,"[1.0000e+00 4.0553e-03 7.4916e-04 4.4187e-03 2.4617e-01 1.0237e-01
 2.3140e-01]"
42,0.84,[1.],1.0,[1.3054],[-1.7442],[9.1993 0.2545 0.1624 0.1522 0.3179 0.2515 0.1062],[0.0447 0.003  0.0296 0.2462 0.1024 0.2315],-0.6922717644901505,102.16731697367884,False,[0.3946],[0.0032 0.0007 0.0034 0.2461 0.1023 0.2314],[2.9744e-01 1.0852e-01 9.3545e-02 8.4452e-07 1.2910e-06 8.6845e-07],[0.6994 0.8908 0.903  0.7539 0.8976 0.7686],0.8188911339863097,0.8290748117732433,2.013660406482563,"[1.0000e+00 3.1683e-03 6.9982e-04 3.4386e-03 2.4613e-01 1.0235e-01
 2.3136e-01]"
