step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
37,0.74,[-0.0001],[-2.2859e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0015 0.0025 0.0021 0.2928 0.0959 0.0532],-1.9607308983540963,-74.51259452733015,False,[1.7001],[0.9328 0.7518 0.8677 0.7074 0.9042 0.9469],[0.0006 0.0006 0.0006 0.2926 0.0958 0.0531],[6.6620e-02 2.4765e-01 1.3173e-01 7.1457e-07 1.3202e-06 1.5353e-06],0.8517917591224494,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2926 0.0958 0.0531]
38,0.76,[-0.0001],[-3.1406e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0015 0.0023 0.002  0.2928 0.0959 0.0532],-1.9606834764018763,-76.47327800373203,False,[1.7001],[0.9326 0.7516 0.8675 0.7074 0.9042 0.9469],[0.0006 0.0006 0.0006 0.2926 0.0958 0.0531],[6.6883e-02 2.4787e-01 1.3197e-01 7.0261e-07 1.3203e-06 1.5353e-06],0.851684472241263,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2926 0.0958 0.0531]
39,0.78,[-0.0001],[-3.9056e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0014 0.0022 0.0019 0.2927 0.0959 0.0532],-1.9606363129852542,-78.43391431671729,False,[1.7001],[0.9323 0.7514 0.8672 0.7075 0.9042 0.9469],[0.0006 0.0006 0.0006 0.2925 0.0958 0.0531],[6.7146e-02 2.4808e-01 1.3222e-01 7.1332e-07 1.3204e-06 1.5353e-06],0.8515772168255817,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2925 0.0958 0.0531]
40,0.8,[-0.0001],[-4.5904e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0014 0.002  0.0018 0.2927 0.0959 0.0532],-1.9605893694110386,-80.39450368612833,False,[1.7001],[0.9323 0.7512 0.867  0.7075 0.9042 0.9469],[0.0006 0.0006 0.0006 0.2925 0.0958 0.0531],[6.7147e-02 2.4829e-01 1.3246e-01 7.0413e-07 1.3205e-06 1.5354e-06],0.8515135189244646,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2925 0.0958 0.0531]
41,0.8200000000000001,[-0.0001],[-5.2034e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0014 0.0019 0.0017 0.2926 0.0959 0.0532],-1.960542605346792,-82.35504629147512,False,[1.7001],[0.9323 0.7509 0.8667 0.7076 0.9042 0.9469],[0.0006 0.0006 0.0006 0.2924 0.0958 0.0531],[6.7149e-02 2.4850e-01 1.3271e-01 7.1240e-07 1.3205e-06 1.5354e-06],0.8514498401312158,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2924 0.0958 0.0531]
42,0.84,[-0.0001],[-5.7521e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0013 0.0018 0.0016 0.2926 0.0958 0.0532],-1.9604960003343401,-84.31554229180946,False,[1.7001],[0.9323 0.7507 0.8667 0.7076 0.9043 0.9469],[0.0006 0.0006 0.0006 0.2924 0.0957 0.0531],[6.7151e-02 2.4871e-01 1.3271e-01 7.0535e-07 1.3206e-06 1.5355e-06],0.851426645617431,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2924 0.0957 0.0531]
43,0.86,[-0.0001],[-6.2433e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0013 0.0018 0.0016 0.2925 0.0958 0.0532],-1.960449524459068,-86.27599181626853,False,[1.7001],[0.9323 0.7507 0.8667 0.7077 0.9043 0.9469],[0.0006 0.0006 0.0006 0.2923 0.0957 0.0531],[6.7152e-02 2.4872e-01 1.3271e-01 7.1174e-07 1.3207e-06 1.5355e-06],0.8514385079429386,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2923 0.0957 0.0531]
44,0.88,[-0.0001],[-6.6831e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0013 0.0017 0.0015 0.2925 0.0958 0.0531],-1.9604031617716386,-88.23639497804017,False,[1.7001],[0.9323 0.7507 0.8667 0.7078 0.9043 0.9469],[0.0006 0.0006 0.0006 0.2922 0.0957 0.0531],[6.7154e-02 2.4872e-01 1.3271e-01 7.0635e-07 1.3207e-06 1.5356e-06],0.8514503679447355,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2922 0.0957 0.0531]
45,0.9,[-0.0001],[-7.0767e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0012 0.0016 0.0014 0.2924 0.0958 0.0531],-1.9603568906124553,-90.19675186865263,False,[1.7001],[0.9323 0.7507 0.8667 0.7078 0.9043 0.9469],[0.0006 0.0006 0.0006 0.2922 0.0957 0.0531],[6.7156e-02 2.4872e-01 1.3271e-01 7.1129e-07 1.3208e-06 1.5356e-06],0.8514622256246032,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2922 0.0957 0.0531]
46,0.92,[-0.0001],[-7.4289e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0012 0.0015 0.0014 0.2924 0.0958 0.0531],-1.9603107059809362,-92.15706257463356,False,[1.7001],[0.9323 0.7507 0.8667 0.7079 0.9043 0.9469],[0.0006 0.0006 0.0006 0.2921 0.0957 0.0531],[6.7157e-02 2.4872e-01 1.3272e-01 7.0717e-07 1.3209e-06 1.5357e-06],0.8514740809826539,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2921 0.0957 0.0531]
